,HitRate@3,HitRate@5,HitRate@10,NDCG@3,NDCG@5,NDCG@10,MRR,MAP@5,AvgValue@5,Coverage@5,Personalization@5
Random,0.08333333333333333,0.13166666666666665,0.27066666666666667,0.059594559273810396,0.07938803872778454,0.1236293354863759,0.11506360633168908,0.0623611111111111,624.7105467569726,1.0,0.925640659065728
Popularity,0.3233333333333333,0.42033333333333334,0.622,0.2630262466583353,0.302669116917297,0.36751390536624473,0.3117742488600358,0.2642055555555556,732.7390431024667,0.25,0.39457470086692
Collaborative Filtering,0.12366666666666666,0.19,0.32466666666666666,0.09107463503690574,0.11813823127697358,0.16152825317017008,0.143363469131622,0.0948111111111111,656.2328485353303,0.9,0.8413115392099632
Content (value),0.329,0.41133333333333333,0.639,0.24398955939524133,0.27791476473059085,0.35135953140570336,0.28392211747284196,0.23361111111111107,893.4412101581876,0.55,0.7204441029184587
Hybrid Ranker,0.49833333333333335,0.581,0.7323333333333333,0.419596453351194,0.4534899225358793,0.5022775147590739,0.44649121981803847,0.41110555555555556,790.9371286121759,0.875,0.8350290495649515
